"Excel-rij";"Controleprioriteit";"Medewerker";"Medewerkernummer";"Team";"Deskundigheid";"Escalatie reden";"Doeltype";"Cliënt/doel";"Doel-ID";"Hoofdlocatie";"Gestart op";"Geactiveerd op";"Signalen";"Her-escalatie sinds activatie (min.)";"Activatievertraging (min.)"
"942";"Hoog";"Synthetische medewerker 221";"SYN-M-0221";"Synthetisch team Noord";"Begeleiding";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0210";"SYN-C-00210";"Synthetische hoofdlocatie 011";"01-05-2026, 00:20:15";"01-05-2026, 01:30:15";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"70"
"1945";"Hoog";"Synthetische medewerker 090";"SYN-M-0090";"Synthetisch team Oost";"Nachtdienst";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0375";"SYN-C-00375";"Synthetische hoofdlocatie 001";"01-05-2026, 01:39:58";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT";"";""
"1718";"Hoog";"Synthetische medewerker 024";"SYN-M-0024";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0049";"SYN-C-00049";"Synthetische hoofdlocatie 025";"01-05-2026, 05:26:13";"01-05-2026, 06:57:13";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"91"
"599";"Hoog";"Synthetische medewerker 114";"SYN-M-0114";"Synthetisch team Oost";"Nachtdienst";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0388";"SYN-C-00388";"Synthetische hoofdlocatie 014";"02-05-2026, 02:17:24";"02-05-2026, 04:09:24";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"112"
"778";"Hoog";"Synthetische medewerker 231";"SYN-M-0231";"Synthetisch team West";"Synthetische deskundigheid";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0290";"SYN-C-00290";"Synthetische hoofdlocatie 016";"02-05-2026, 02:19:38";"02-05-2026, 02:58:38";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"39"
"195";"Hoog";"Synthetische medewerker 230";"SYN-M-0230";"Synthetisch team Oost";"Nachtdienst";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0553";"SYN-C-00553";"Synthetische hoofdlocatie 004";"02-05-2026, 02:28:55";"02-05-2026, 02:45:55";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"17"
"1958";"Hoog";"Synthetische medewerker 044";"SYN-M-0044";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Controle na overdracht van zorg";"Cliënt";"Synthetische cliënt 0482";"SYN-C-00482";"Synthetische hoofdlocatie 008";"02-05-2026, 02:44:38";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT";"";""
"1396";"Hoog";"Synthetische medewerker 121";"SYN-M-0121";"Synthetisch team Noord";"Begeleiding";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0375";"SYN-C-00375";"Synthetische hoofdlocatie 001";"03-05-2026, 02:11:15";"03-05-2026, 02:29:15";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"18"
"1158";"Hoog";"Synthetische medewerker 127";"SYN-M-0127";"Synthetisch team West";"Synthetische deskundigheid";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0041";"SYN-C-00041";"Synthetische hoofdlocatie 017";"03-05-2026, 02:46:11";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT";"";""
"1264";"Hoog";"Synthetische medewerker 111";"SYN-M-0111";"Synthetisch team West";"Synthetische deskundigheid";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0319";"SYN-C-00319";"Synthetische hoofdlocatie 020";"03-05-2026, 03:05:08";"03-05-2026, 03:13:08";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"8"
"159";"Hoog";"Synthetische medewerker 173";"SYN-M-0173";"Synthetisch team Noord";"Begeleiding";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0032";"SYN-C-00032";"Synthetische hoofdlocatie 008";"03-05-2026, 04:42:24";"03-05-2026, 06:31:24";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"109"
"443";"Hoog";"Synthetische medewerker 009";"SYN-M-0009";"Synthetisch team Noord";"Begeleiding";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0049";"SYN-C-00049";"Synthetische hoofdlocatie 025";"03-05-2026, 04:57:21";"03-05-2026, 05:36:21";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"39"
"1471";"Hoog";"Synthetische medewerker 223";"SYN-M-0223";"Synthetisch team West";"Synthetische deskundigheid";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0584";"SYN-C-00584";"Synthetische hoofdlocatie 010";"03-05-2026, 05:10:27";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT";"";""
"1682";"Hoog";"Synthetische medewerker 119";"SYN-M-0119";"Synthetisch team West";"Synthetische deskundigheid";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0208";"SYN-C-00208";"Synthetische hoofdlocatie 009";"03-05-2026, 23:01:44";"04-05-2026, 00:55:44";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"114"
"1767";"Hoog";"Synthetische medewerker 083";"SYN-M-0083";"Synthetisch team West";"Synthetische deskundigheid";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0109";"SYN-C-00109";"Synthetische hoofdlocatie 010";"04-05-2026, 02:41:44";"04-05-2026, 02:19:44";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; ONGELDIGE_ACTIVATIE";"";"-22"
"515";"Hoog";"Synthetische medewerker 162";"SYN-M-0162";"Synthetisch team Oost";"Nachtdienst";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0161";"SYN-C-00161";"Synthetische hoofdlocatie 012";"04-05-2026, 04:04:00";"04-05-2026, 05:43:00";"NACHT; VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"99"
